,last_price,total_area,bedrooms,ceiling_height,floors_total,living_area,floor,bike_parking,studio,open_plan,kitchen_area,balcony,airport_dist,city_center_dist
0,56000.0,74.9,1,3.12,2,31.0,1,0,0,0,6.0,1,27960,16554
1,167000.0,144.1,2,2.77,5,79.2,3,1,0,0,4.2,0,41822,1429
2,100000.0,117.8,1,2.37,20,51.6,18,0,0,1,8.5,1,25477,19929
3,96000.0,101.8,2,2.4,5,66.3,4,0,0,0,14.9,1,47363,20834
4,69000.0,48.7,3,2.65,13,21.2,2,0,0,0,13.6,0,49370,1776
5,79000.0,48.7,2,3.15,8,27.0,1,1,0,0,13.3,0,44501,2964
6,30000.0,37.0,1,2.92,16,20.6,12,1,0,0,10.3,0,32952,23096
7,120000.0,133.9,2,3.08,18,92.6,9,0,1,0,5.0,0,49503,15784
8,75000.0,102.1,1,2.63,16,60.9,12,0,0,0,4.2,1,49268,24048
9,116000.0,115.0,1,2.34,1,55.9,1,0,0,0,13.2,0,26379,11982
10,80000.0,32.5,3,3.18,8,15.3,6,1,0,1,6.0,0,18670,5575
11,141000.0,146.4,3,2.32,2,64.2,1,0,1,0,4.8,0,13434,9884
12,142000.0,129.9,4,3.15,5,81.4,5,0,0,0,11.8,0,35466,23296
13,90000.0,55.5,3,2.63,15,33.7,15,0,0,0,4.0,0,6566,3767
14,37000.0,51.8,3,2.31,14,30.2,13,1,0,0,12.1,0,39372,22413
15,44000.0,52.0,1,2.92,3,21.4,1,0,1,0,6.1,1,7309,13714
16,116000.0,66.5,3,3.18,7,41.8,7,0,0,0,7.5,0,16942,2681
17,114000.0,93.0,3,3.17,4,55.1,2,0,0,0,5.9,0,27410,10594
18,105000.0,81.8,3,2.44,11,56.4,7,0,0,0,12.5,0,9384,6838
19,73000.0,64.9,2,2.46,12,37.4,2,1,1,1,9.3,0,6633,14807
20,130000.0,103.4,2,2.81,15,50.8,12,0,0,0,5.8,1,26591,4659
21,30000.0,46.7,3,2.87,6,24.0,2,0,0,0,4.4,0,44904,23591
22,101000.0,65.1,3,2.97,1,29.5,1,0,0,0,14.9,1,23374,6071
23,97000.0,74.0,4,2.46,18,45.6,17,0,0,1,11.9,1,14013,16190
24,77000.0,84.7,1,3.16,14,51.9,8,0,0,0,11.5,1,23376,20950
25,137000.0,124.2,2,2.87,7,57.2,5,0,0,0,9.5,2,37519,15302
26,72000.0,54.0,2,3.06,10,24.2,4,0,0,1,8.8,1,6861,16734
27,126000.0,91.7,3,2.79,9,38.8,2,0,0,0,12.8,1,6384,10824
28,137000.0,101.1,1,2.67,2,68.1,1,0,0,1,13.1,0,25825,3444
29,49000.0,35.6,1,3.18,8,16.7,5,0,0,1,4.7,1,35451,4152
30,135000.0,102.9,4,2.82,1,51.8,1,0,0,1,13.5,0,32619,17852
31,38000.0,50.5,1,3.08,20,24.4,13,0,0,1,12.4,0,33702,20134
32,37000.0,37.8,3,3.16,2,19.8,2,0,1,0,9.3,1,12457,21215
33,167000.0,143.9,2,2.91,7,88.4,5,0,1,0,9.2,0,29243,9706
34,181000.0,145.9,3,2.79,16,96.4,2,0,0,0,13.2,1,22007,24253
35,138000.0,127.0,2,2.3,4,57.8,3,0,0,0,12.7,0,9972,16399
36,88000.0,66.6,4,2.34,17,40.3,16,0,0,0,5.5,0,10763,4686
37,96000.0,41.7,4,2.48,4,21.1,4,1,0,0,10.0,1,34040,2616
38,118000.0,112.1,1,2.47,3,77.8,3,0,0,0,14.7,0,48075,14078
39,85000.0,82.8,1,2.53,9,40.6,5,0,0,0,12.1,0,9783,18786
40,81000.0,44.6,2,2.57,15,18.0,7,1,0,1,14.7,0,27270,1434
41,152000.0,89.4,3,2.62,20,49.6,9,1,0,1,12.5,1,16157,1542
42,44000.0,34.1,3,2.68,3,15.2,1,0,0,0,9.8,1,17672,14879
43,121000.0,139.1,2,2.39,12,57.5,8,0,0,0,10.7,0,15100,24757
44,64000.0,61.1,3,2.34,15,37.2,2,1,0,1,11.8,0,29556,18701
45,166000.0,109.5,1,2.91,20,67.9,20,1,0,0,12.0,2,7552,4638
46,119000.0,67.4,3,2.78,8,36.3,4,1,0,0,12.2,2,38412,3093
47,116000.0,92.4,4,2.7,12,55.7,7,0,0,0,14.2,1,32303,20544
48,87000.0,95.6,2,2.87,13,53.7,13,0,0,0,7.4,1,22317,20435
49,71000.0,52.2,2,3.04,15,30.7,4,0,0,0,13.1,1,14803,11964
50,190000.0,146.4,1,2.68,11,84.7,5,0,0,1,10.3,0,29134,1858
51,125000.0,123.0,2,2.88,17,73.8,15,0,0,0,13.7,0,47982,19390
52,170000.0,142.7,2,3.16,12,65.6,2,1,1,1,10.9,1,36865,10887
53,129000.0,137.4,1,3.06,20,66.0,2,1,1,0,14.3,0,17571,20593
54,135000.0,101.7,2,2.68,18,54.1,14,0,0,1,8.7,0,38431,4459
55,161000.0,140.6,2,2.88,16,75.1,10,0,0,0,5.1,0,27682,12118
56,39000.0,40.6,2,2.46,3,25.7,1,0,1,0,11.1,0,7161,13633
57,64000.0,53.5,2,2.8,9,27.3,2,0,0,0,12.5,1,32789,9871
58,32000.0,35.4,1,3.18,7,15.9,4,1,0,1,11.6,1,15525,24758
59,91000.0,69.0,3,2.77,19,32.8,6,0,0,1,12.0,1,23435,19309
60,67000.0,76.6,3,3.13,5,35.6,4,0,0,0,4.3,0,26531,20924
61,79000.0,62.6,2,2.67,19,38.8,12,0,0,0,14.6,1,40969,6786
62,158000.0,129.4,1,3.2,10,70.0,8,1,0,1,6.9,1,31103,10232
63,105000.0,72.8,3,2.82,20,44.6,1,0,1,1,8.6,1,20304,3659
64,62000.0,63.7,4,2.34,12,33.4,7,0,0,1,8.6,1,34576,24959
65,134000.0,95.1,2,2.83,8,63.4,4,0,0,0,14.0,1,13644,7182
66,67000.0,46.9,2,2.55,3,32.6,3,1,0,0,12.2,1,42026,3414
67,146000.0,126.3,1,2.33,19,75.9,7,0,0,0,10.8,0,14064,5925
68,30000.0,38.9,2,3.04,11,25.7,9,1,1,0,5.3,0,30134,14717
69,157000.0,148.4,1,2.55,8,82.0,4,0,0,0,7.6,1,14231,9056
70,153000.0,122.7,2,3.02,13,83.5,7,0,0,0,9.4,0,19650,4935
71,61000.0,53.8,3,2.56,10,35.0,6,0,0,0,5.3,0,24012,12240
72,35000.0,30.7,2,2.47,18,21.4,4,0,0,1,10.3,1,21534,17091
73,123000.0,127.9,2,3.18,12,75.0,10,1,0,1,6.4,0,47024,16955
74,163000.0,114.8,2,2.63,7,72.8,4,1,0,0,13.1,1,15057,1354
75,122000.0,117.5,2,2.84,11,66.1,8,0,0,0,13.1,1,13107,19130
76,133000.0,122.6,1,2.85,10,58.5,3,0,0,0,10.6,1,28289,6788
77,30000.0,38.9,1,2.8,3,19.7,1,1,0,1,8.0,1,47701,23132
78,107000.0,73.0,3,3.12,7,48.8,5,0,0,0,4.5,1,27650,4324
79,34000.0,43.9,1,2.91,4,18.3,4,0,0,0,10.9,0,48172,10587
80,159000.0,133.6,3,2.66,8,77.1,3,0,0,0,12.6,1,13566,8493
81,142000.0,104.8,4,3.08,8,53.6,7,1,0,0,12.7,1,5462,12793
82,68000.0,69.7,2,2.46,6,36.0,6,0,1,0,9.3,0,18633,8526
83,30000.0,37.6,2,2.79,13,25.0,12,0,0,0,5.5,1,33719,19510
84,85000.0,67.3,2,3.16,12,44.2,10,0,0,1,4.7,1,31642,10167
85,75000.0,69.0,3,2.86,3,40.0,3,0,0,0,4.6,0,15878,9403
86,118000.0,117.6,4,3.04,6,56.6,5,0,0,0,6.7,0,34771,24310
87,113000.0,106.5,3,2.89,19,57.8,7,1,0,0,5.6,2,42361,10683
88,161000.0,136.5,1,3.06,11,71.3,6,1,0,0,5.9,0,35924,4121
89,119000.0,86.7,3,3.15,4,43.9,3,0,0,0,11.7,0,37754,7432
